Conf, Run, Time
base,23,4.838 
base,16,6.846 
base,20,6.841 
base,17,4.803 
base,10,4.878 
base,4,6.857 
base,19,4.811 
base,5,6.885 
base,1,4.839 
base,2,6.850 
base,29,6.852 
base,30,6.852 
base,26,4.808 
base,21,6.846 
base,8,4.862 
base,25,4.821 
base,6,6.838 
base,7,4.847 
base,9,6.850 
base,3,6.845 
base,28,4.898 
base,11,6.849 
base,18,4.906 
base,24,4.811 
base,15,4.792 
base,27,4.832 
base,14,4.864 
base,12,4.839 
base,13,6.833 
base,22,6.847 
balancing,25,4.265 
balancing,30,3.433 
balancing,29,4.451 
balancing,9,3.431 
balancing,23,4.448 
balancing,4,3.587 
balancing,21,3.461 
balancing,11,4.363 
balancing,5,4.424 
balancing,8,4.362 
balancing,22,4.443 
balancing,19,4.406 
balancing,12,4.266 
balancing,16,4.449 
balancing,10,4.511 
balancing,13,3.485 
balancing,14,3.414 
balancing,1,4.421 
balancing,26,4.466 
balancing,7,4.410 
balancing,27,4.385 
balancing,24,3.514 
balancing,15,4.548 
balancing,6,4.552 
balancing,2,4.213 
balancing,28,4.267 
balancing,17,4.369 
balancing,18,4.274 
balancing,3,4.282 
balancing,20,4.251 
tabarnac,4,2.243 
tabarnac,9,2.255 
tabarnac,27,2.280 
tabarnac,1,2.248 
tabarnac,8,2.269 
tabarnac,20,2.262 
tabarnac,16,2.349 
tabarnac,28,2.313 
tabarnac,5,2.265 
tabarnac,7,2.262 
tabarnac,6,2.249 
tabarnac,13,2.258 
tabarnac,3,2.242 
tabarnac,14,2.248 
tabarnac,30,2.270 
tabarnac,22,2.295 
tabarnac,10,2.259 
tabarnac,29,2.256 
tabarnac,26,2.296 
tabarnac,23,2.236 
tabarnac,19,2.255 
tabarnac,25,2.317 
tabarnac,15,2.255 
tabarnac,18,2.266 
tabarnac,21,2.240 
tabarnac,2,2.287 
tabarnac,24,2.238 
tabarnac,11,2.276 
tabarnac,17,2.258 
tabarnac,12,2.312 
interleave,6,2.377 
interleave,7,2.308 
interleave,24,2.358 
interleave,17,2.292 
interleave,4,2.277 
interleave,2,2.420 
interleave,12,2.363 
interleave,1,2.510 
interleave,9,2.375 
interleave,3,2.359 
interleave,10,2.531 
interleave,27,2.281 
interleave,29,2.346 
interleave,13,2.284 
interleave,22,2.310 
interleave,30,2.405 
interleave,25,2.415 
interleave,11,2.373 
interleave,21,2.435 
interleave,19,2.351 
interleave,23,2.385 
interleave,20,2.307 
interleave,8,2.288 
interleave,14,2.348 
interleave,16,2.357 
interleave,5,2.296 
interleave,26,2.328 
interleave,18,2.315 
interleave,28,2.335 
interleave,15,2.271 
