Machine,Bench,Slowdown,se
Idfreeze (AMD),BT.B,54.2238482422479,1.90018946704693
Idfreeze (AMD),CG.B,19.9286271403565,0.0708396296718287
Idfreeze (AMD),DC.A,2.10573084831734,0.0170074364485818
Idfreeze (AMD),EP.B,13.6450022243557,0.151771159645729
Idfreeze (AMD),FT.B,60.549293647363,1.13042180876338
Idfreeze (AMD),IS.B,31.3236108666154,0.552424974938429
Idfreeze (AMD),LU.B,40.0503258499677,1.09276234607123
Idfreeze (AMD),MG.B,30.662317403854,0.809863187230973
Idfreeze (AMD),SP.B,4.39876895975225,0.054566116025791
Idfreeze (AMD),UA.B,37.1713716125891,0.524429489786788
Turing (Intel),DC.A,26.2611841644686,0.180092992114398
Turing (Intel),SP.B,7.3720988268006,0.0572763233166059
Turing (Intel),BT.B,33.1389909514072,1.08855994854777
Turing (Intel),CG.B,9.75772999807892,0.180466122796376
Turing (Intel),DC.B,12.7794805640559,0.365223774981506
Turing (Intel),EP.B,22.5610955908902,0.9861542203856
Turing (Intel),FT.B,19.1731014553893,0.288448439240898
Turing (Intel),IS.B,27.2852764297978,1.47829833245574
Turing (Intel),LU.B,32.1304822442463,1.14051429176952
Turing (Intel),MG.B,16.2357586983081,1.1938560614246
Turing (Intel),UA.B,29.6522536453133,0.708428358659532
